ARC Dining;Food and art;Brisbane;Australia;No comments;
Bacchus;Modern Australian;Brisbane, Southbank;Australia;No comments;
Hanaman;Chinese;Darwin;Australia;No comments;
Masaaki's Sushi;very good sushi, octopus salad;Geeveston, Tasmania;Australia;No comments;
Daughter in Law;Indian with a difference;Melbourne;Australia;No comments;
Earl Canteen;smashed meatball sandwich;Melbourne;Australia;No comments;
Gingerboy;Asian street food;Melbourne;Australia;No comments;
Kazuki's;refined Japanese;Melbourne;Australia;No comments;
Rockpool Bar & Grill;steak (Neil Perry);Melbourne , Southbank;Australia;No comments;
Kepos Street Kitchen;Middle Eastern;Sydney , Redfern;Australia;No comments;
Curry Leaf;Sri Lankan;Sydney, Seven Hills;Australia;No comments;
Blue Fish;bugs;Sydney;Australia;No comments;
Café du Wheels;pies (The Tiger);Sydney;Australia;No comments;
Chuuka;Chinese with a difference;Sydney;Australia;No comments;
Civic Dining;eggplant, scallop and taramasalata moussaka;Sydney;Australia;No comments;
Flying Fish;Sri Lankan;Sydney;Australia;No comments;
Boon Thai;Thai;Sydney;Australia;No comments;
China Doll;abalone omelette;Sydney;Australia;No comments;
Corner 75;Hungarian;Sydney;Australia;No comments;
Olio;salt-baked fish;Sydney;Australia;No comments;
Victor Churchill;butcher;Woolahra;Australia;No comments;
Restaurant Vestibul;Lobster with cabbage;Vienna;Austria;No comments;
Sausage stall outside Opera House;Sausages;Vienna;Austria;No comments;
Del Quindío Tienda Café;empanadas;Bogotá;Bolivia, Plurinational State of;No comments;
Doña Blanca;tamales;Bogotá;Bolivia, Plurinational State of;No comments;
El Concejal;Ajiaco, the quintessential Bogotá stew;Bogotá;Bolivia, Plurinational State of;No comments;
La Puerta Falsa;drop cheese bread into aguapanela;Bogotá;Bolivia, Plurinational State of;No comments;
Orso Heladería;ice cream;Bogotá;Bolivia, Plurinational State of;No comments;
Salvo Patria;Colombian;Bogotá;Bolivia, Plurinational State of;No comments;
Ponto Chico;bauru Sandwich;São Paulo;Brazil;No comments;
Fu Hua Zhai;imperial Chinese;Beijing;China;No comments;
Liqun Roast Duck restaurant;Roast Duck;Beijing (lee choong);China;No comments;
Nangtang;Tea-smoked duck;Chengdu;China;No comments;
Talin;Kung Pao chicken;Chengdu;China;No comments;
Chensing;Drunken chicken;Shanghai;China;No comments;
Brodkunsten;bakery;Copenhagen;Denmark;No comments;
Noma;Fine dining;Copenhagen;Denmark;No comments;
Nyhavns Færgekro;herring;Copenhagen;Denmark;No comments;
Relae;organic Michelin star;Copenhagen;Denmark;No comments;
Savoy Hotel;Vorschmack;Helsinki;Finland;No comments;
Juuri;Finnish food;Helsinki;Finland;No comments;
Kosmos;Kalakukko;Helsinki;Finland;No comments;
Hotel de France;cassoulet;Castelnaudary;France;No comments;
Léon de Lyon;traditional French;Lyon;France;No comments;
Le Florian;Salad Lyonnaise;Lyon;France;No comments;
L'Épuisette;Bouillabaisse;Marseille;France;No comments;
Chez Pipo;Socca;Nice;France;No comments;
La Merenda;French;Nice;France;No comments;
Arnaud Lahrer;macaron;Paris;France;No comments;
Bistro Paul Bert;steak frite;Paris;France;No comments;
Gerard Mulet;croissant;Paris;France;No comments;
La Fontaine du Mars;cassoulet;Paris;France;No comments;
La Palette;croque mousieur;Paris;France;No comments;
Ti Jos;crepes;Paris;France;No comments;
Au Père Louis;wine bar;Toulouse;France;No comments;
Tim Raue;Asian-inspired German;Berlin;Germany;No comments;
Woop Woop;ice cream;Berlin;Germany;No comments;
Reinstoff;molecular gastronomy;Berlin;Germany;No comments;
Drip Bar;amazing cocktails;Hamburg;Germany;No comments;
Zunfthaus zur Waag;dish with Rösti;Zürich, Münsterhof;Germany;No comments;
Eddy's;Caribbean; Gustavia, Rue Samuel Falhberg;Guadeloupe;No comments;
Dora La Tostadora;tostadas;Guatemala City;Guatemala;No comments;
Lung King Heen Four Seasons;dim sum;Hong Kong;Hong Kong;No comments;
Shang Palace;Cantonese;Hong Kong;Hong Kong;No comments;
Sister Wah;beef brisket noodles;Hong Kong;Hong Kong;No comments;
Yat Lok;best roast goose;Hong Kong;Hong Kong;No comments;
Yin yang coastal;Cantonese seafood;Hong Kong;Hong Kong;No comments;
Yung Kee;roast goose;Hong Kong;Hong Kong;No comments;
Ichu Peru;Peruvian (very high quality);Hong Kong;Hong Kong;No comments;
Bengali Sweet House;Gol guppa;New Delhi;India;No comments;
Sagar Ratna;family dosa;New Delhi;India;No comments;
Farmgate Cafe;Irish;Cork;Ireland;No comments;
Thornton's;Irish;Dublin;Ireland;No comments;
King Sitric;lobster;Howth;Ireland;No comments;
Vivoli;gelato;Florence;Italy;No comments;
Zeb;ribolito (sort of very thick soup);Florence;Italy;No comments;
Becagli's bakery;schiacciata (orange cake);Florence;Italy;No comments;
Forno Campo de'Fiori;pizza rossa;Rome;Italy;No comments;
Giulietta;Pizza (Gourmet);Rome;Italy;No comments;
Hostaria La Botticella;trad Italian;Rome;Italy;No comments;
Il Cannolo Siciliano;gelato;Rome;Italy;No comments;
Pizzarium;pizza;Rome;Italy;No comments;
Roscioli Salumeria con Cucina;best pasta;Rome;Italy;No comments;
Ahhhbees;Spicey mango snapper burger;Negril;Jamaica;No comments;
Bird Land;yakitori;Tokyo , Ginzo;Japan;No comments;
Otabe-ya;Kitsune Udon;Osaka;Japan;No comments;
Yoshino Zushi;Hako-sushi (Box Sushi);Osaka;Japan;No comments;
Gyuichi shinkan;Yakiniku (with Kobe beef);Osaka;Japan;No comments;
Tsukiji market;seafood (big market);Tokyo;Japan;No comments;
 Matsuyoshi;eel;Tokyo;Japan;No comments;
Abu Hateb;aria sandwiches (pomegranate);Amman;Jordan;No comments;
Hashem;mezze;Amman;Jordan;No comments;
Sufra;Maqluba (rice and lamb dish);Amman;Jordan;No comments;
Al Qantar;Mansaf;Petra;Jordan;No comments;
Seven Wonders camp;Zarb;Petra;Jordan;No comments;
Dewa & Sons;dhal puri.;Mauritius;Mauritius;No comments;
Chef Leone;mine bouille (noodles);Mauritius;Mauritius;No comments;
Gato Pima Rosehill;gato pima;Mauritius;Mauritius;No comments;
Restaurante Es Tast de na Sílvia;Spanish food;Ciutadella, Menorca;Spain;No comments;
Al Fassiah;Moroccan food;Fez;Morocco;No comments;
Dar Chef;Harira;Marrakech;Morocco;No comments;
Haj Mustapha;Mechoui (lamb);Marrakech;Morocco;No comments;
Moha;couscous;Marrakech;Morocco;No comments;
Riad Monceau;Tagine;Marrakech;Morocco;No comments;
Blue Spoon;Dutch cuisine;Amsterdam;Netherlands;No comments;
Envy;Dutch sausages;Amsterdam;Netherlands;No comments;
Couscous Club;just couscous;Amsterdam;Netherlands;No comments;
Lombardo's;meatloaf sandwich;Amsterdam;Netherlands;No comments;
Mamouche;Moroccan;Amsterdam;Netherlands;No comments;
Sinne;hip food;Amsterdam;Netherlands;No comments;
Tujuh Maret;rijsttafel;Amsterdam;Netherlands;No comments;
Green Bear;bigos (stew);Warsaw;Poland;No comments;
Starry Dome;polish food;Warsaw;Poland;No comments;
Rameiro;Seafood;Lisbon;Portugal;No comments;
Ramiro;seafood;Lisbon;Portugal;No comments;
Børealis;Nordic;London;Portugal;No comments;
Four Seasons;roast duck Chinese;London;Portugal;No comments;
Artichoke;Middle Eastern lambgasm;Singapore;Singapore;No comments;
Armin;koeksisters;Cape Town;South Africa;No comments;
Bo-Kaap Kombuis;Bobotie;Cape Town;South Africa;No comments;
Cape Town Fish Market;Fish, poitjie kos;Cape Town;South Africa;No comments;
Mulberry & Prince;South African;Cape Town;South Africa;No comments;
Neighbourhood's market;food stalls;Cape Town;South Africa;No comments;
Athol Place;modern South African;Johannesburg;South Africa;No comments;
Marble Restaurant;Braai;Johannesburg;South Africa;No comments;
Wolfgat;South African;Paternoster;South Africa;No comments;
El Senor Martin;seafood tapas;Madrid;Spain;No comments;
La Casa de la Ole;Tapas;Madrid;Spain;No comments;
Sobrino Botin;suckling pig;Madrid;Spain;No comments;
Arzak;pintxos tapas;San Sebastián;Spain;No comments;
Munto;tapas;San Sebastián;Spain;No comments;
San Sebastián Food;pintxos tour;Sebastián;Spain;No comments;
Bar Central;sandwiches;Valencia;Spain;No comments;
New Eating House;crab curry;Colombo;Sri Lanka;No comments;
Frantzen;Swedish;Stockholm;Sweden;No comments;
Agrikultur;Nordic;Stockholm;Sweden;No comments;
Meatballs for the People;Meatballs;Stockholm;Sweden;No comments;
Niklas Ekstedt;new Nordic cuisine;Stockholm;Sweden;No comments;
Hai;papaya salad;Bangkok;Thailand;No comments;
Double Meze Bar;Turkish meze;Istanbul;Turkey;No comments;
Ulus 29;Turkish;Istanbul;Turkey;No comments;
Viktor Levi;wine Bar, good food;Istanbul;Turkey;No comments;
Goat;fine dining with pizza;Chelsea;United Kingdom;No comments;
The Company Shed;fish;Colchester;United Kingdom;No comments;
Crooked Billet;Cockles;Leigh-on-Sea;United Kingdom;No comments;
Paranhodu;Korean; London , New Cross;United Kingdom;No comments;
Summer Shack;lobster rolls;Boston or Cambridge;United States;No comments;
Shelsky's of Brooklyn;Jewish food; New York, Brooklyn;United States;No comments;
Schwabl's;Beef on Weck;Buffalo;United States;No comments;
Bottaga;Napa Valley;California;United States;No comments;
Lola;doughnuts;Chicago;United States;No comments;
Al Ameer;Middle Eastern;Detroit;United States;No comments;
Toni's Pasta Table;Pasta;Fairfield County, Connecticut;United States;No comments;
Umami Burger;umami burgers;Los Angeles;United States;No comments;
Chateau Hanare;Japanese;Los Angeles;United States;No comments;
Uncle Louis;fried chicken;Memphis;United States;No comments;
El Palacio;Lechon asado (Cuban roast pig);Miami;United States;No comments;
El Rey de la Frita;frita;Miami;United States;No comments;
Montelimar;Nicaraguan Nacatamale;Miami;United States;No comments;
Versailles;Cuban sandwich;Miami;United States;No comments;
Central Grocery;mufulleta sandwich;New Orleans;United States;No comments;
Commander's Palace;gumbo;New Orleans;United States;No comments;
Johnny's Po Boys;Po Boys;New Orleans;United States;No comments;
Palace Cafe;Bananas Foster;New Orleans;United States;No comments;
Delmonico's;hamburger (Original);New York;United States;No comments;
John's of Blecker St;pizza;New York;United States;No comments;
Katz's;pastrami sandwich;New York;United States;No comments;
Keen's Steakhouse;mutton chop;New York;United States;No comments;
Waldorf;eggs benedict (Original);New York;United States;No comments;
Yonah Shimmel;Knish dumplings;New York;United States;No comments;
Barney Greengrass;smoked fish scrambled egg;New York;United States;No comments;
Emilio's Bulatto;Spaghetti & Meatballs;New York;United States;No comments;
Mifune;Japanese;New York;United States;No comments;
Sarge's;corned beef sandwich;New York;United States;No comments;
Sushi Amane;best omakase sushi;New York;United States;No comments;
Skylight Inn;pulled pork;North Carolina;United States;No comments;
Dyafa;Palestinian;Oakland;United States;No comments;
Gwendolyn;local ingredients;San Antonio;United States;No comments;
Mixtli;Mexican avant garde;San Antonio;United States;No comments;
Sotto Mare;Cioppino;San Francisco;United States;No comments;
Swan Oyster Depot;Crab Louie Salad;San Francisco;United States;No comments;
Boudin Bakery;sourdough;San Francisco;United States;No comments;
Far East Cafe;egg foo young;San Francisco;United States;No comments;
Taqueria La Cumbre;burrito (big);San Francisco;United States;No comments;
Maneki;Japanese;Seattle;United States;No comments;
Cafe Giang;egg coffee;Hanoi;Viet Nam;No comments;
Cha Ca Le Vong;Fish;Hanoi;Viet Nam;No comments;
Pho Xuan;Pho;Hanoi;Viet Nam;No comments;
Bun Cha 34;Bun cha;Hanoi;Viet Nam;No comments;
Cha Ca La Vong;Cha Ca (Fish soup);Hanoi;Viet Nam;No comments;
Hamidyah;curry (try nasi kandah);Penang;Viet Nam;No comments;
Hamo;bibimbap;Seoul;Korea, Republic of;No comments;
Rye Post;Korean Spivey pork belly sandwich;Seoul;Korea, Republic of;No comments;
Byeokje Golbi;beef;Seoul, Seoraemaul District;Korea, Republic of;No comments;